Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
"Insjön, Mårtas Livs",Insjön,x,x,x,x,x,60.67944,15.09306
Clas Ohlson centrallager,Insjön,x,x,x,x,x,60.66806,15.09111
Leksand,Leksand,x,x,x,x,x,60.71806,15.01056
Siljansnäs,Siljansnäs,x,x,x,x,x,60.77528,14.85139
Tällberg,Tällberg,x,x,x,x,x,60.82278,15.01222
"Norsbro, Allmoge Snickeri",Leksand,x,x,x,x,x,60.73111,15.01417
"Fornby, vid reningsverket",Siljansnäs,x,x,x,x,x,60.76389,14.93222
Limhagen (ÅVC),Leksand,x,x,x,x,x,60.74750,14.99278
Statoil,Leksand,x,x,x,x,x,60.73750,15.00306
Björnhyttan ÅVC,Björnhyttan,x,x,x,x,x,60.13528,15.02556
Gravendal,Fredriksberg,x,"",x,"","",60.05111,14.50556
Brandstationen,Fredriksberg,x,x,x,x,x,60.14083,14.37944
Norhyttan,Fredriksberg,x,"",x,"","",60.20583,14.87944
"Tyfors, Fredriksberg",Fredriksberg,x,"",x,"","",60.14139,14.36472
"Ulriksberg, Fredriksberg",Fredriksberg,x,"",x,"","",60.18167,14.60944
OK/Q8,Grangärde,x,x,x,x,x,60.27111,14.98306
P-plats Grängesvallen,Grängesberg,x,x,x,x,x,60.08611,15.01389
Hörkshage,Grängesberg,x,"",x,"","",60.05694,15.04389
Lidl,Ludvika,x,x,x,x,x,60.15278,15.18583
Dianavägen,Ludvika,x,x,x,x,x,60.12306,15.19278
Grottvägen,Ludvika,x,x,x,x,x,60.13361,15.18361
Hillängen DUBBELSTATION,Ludvika,x,x,x,x,x,60.15278,15.21167
Håksberg,Ludvika,x,x,x,x,x,60.18639,15.20528
Knutsbovägen,Ludvika,x,x,x,x,x,60.12667,15.19500
Axvägen,Ludvika,x,x,x,x,x,60.13000,15.18333
Magnetbacken/Grottvägen,Ludvika,x,x,x,x,x,60.14056,15.18139
Lyviksberget Coop,Ludvika,x,x,x,x,x,60.13778,15.15639
Nyhammar Torget,Nyhammar,x,x,x,x,x,60.29250,14.97083
Saxdalen,Saxdalen,x,x,x,x,x,60.14528,14.98611
Eljusspåret,Ludvika,x,x,x,x,x,60.13778,15.19806
Sörvik,Sörvik,x,x,x,x,x,60.18528,15.15667
Ica Supermarket,Ludvika,x,x,x,x,x,60.13139,15.17417
Ställviksberget,Ludvika,x,x,x,x,x,60.16167,15.18139
GIA,Grängesberg,x,x,x,x,x,60.07250,15.00278
Dröverka,Sunnansjö,x,"",x,"","",60.19500,15.09306
Klenshyttan,Sunnansjö,x,"",x,"","",60.12389,15.09972
"COOP Nära, Sunnansjö",Sunnansjö,x,x,x,x,x,60.21611,14.95778
Rämshyttan,Sunnansjö,x,"",x,"","",60.29694,15.23667
Svarthyttan,Sunnansjö,x,"",x,"","",60.25889,15.24556
Vallen,Sunnansjö,x,"",x,"","",60.07222,15.14806
Gruvfogdevägen,Grängesberg,x,x,x,x,x,60.07639,14.98139
Turbinvägen,Ludvika,x,x,x,x,x,60.11917,15.18389
